系统,公平性指标_评委粉丝相关性,公平性指标_分区变动稳定性,公平性指标_豁免权公平性,娱乐性指标_意外淘汰次数,娱乐性指标_排名波动指数,娱乐性指标_豁免权使用次数,参与度指标_投票影响力方差,参与度指标_时间演化影响,模型性能指标_RCV收敛性,模型性能指标_时间加权覆盖率,模型性能指标_模型健壮性,综合评分
优化分区系统,0.6715869783239117,0.6492307692307693,0.35000000000000003,0.42000000000000004,0.26046296296296295,0.19000000000000003,0.4678627430668171,0.07654495696581039,0.7973785676116728,1.1999999999999997,0.8499999999999999,0.46464436266366
优化当前系统,0.695946836409471,0.5,0.0,0.2,0.2609259259259259,0.0,0.3685522803067204,0.07514639476837799,0.8273774090634927,1.0,0.7999999999999999,0.35935022106188586
